id,screen,project_id,assay_barcode,src_well_position,assay_well_position,src_barcode,compound_name,pert_dose,prc_id,pool_id,pert_plate,replicate
6428d23c-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172168,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P954,PMTS062,X1
6428e9dd-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172178,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,NULL,PMTS062,NULL
6428fa12-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172178,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,NULL,PMTS062,NULL
64290ab5-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172185,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P110,PMTS062,X1
64291a4a-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172185,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P110,PMTS062,X1
64292cb7-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173073,G11,G20,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P102,PMTS062,X3
64293d13-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173075,G11,G20,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P104,PMTS062,X3
642955eb-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172162,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P121,PMTS062,X1
642968c9-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172174,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P105,PMTS062,X1
64297866-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172174,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P105,PMTS062,X1
642993e8-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173088,G11,G20,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P117,PMTS062,X3
6429aea3-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172192,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P948,PMTS062,X1
6429bf38-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172198,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P951,PMTS062,X1
6429d397-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173090,G11,G20,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P119,PMTS062,X3
6429e438-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173077,G11,G20,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P106,PMTS062,X3
6429fc6b-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172153,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P946,PMTS062,X1
642a0c23-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172200,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P125,PMTS062,X1
642a1c52-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172200,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P125,PMTS062,X1
642a2ff4-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172183,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P119,PMTS062,X1
642a3f8b-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172183,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P119,PMTS062,X1
642a59d8-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172164,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P122,PMTS062,X1
642a6986-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172164,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P122,PMTS062,X1
642a7aee-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172172,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P103,PMTS062,X1
642a8ddf-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172194,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P115,PMTS062,X1
642a9e0f-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172180,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,NULL,PMTS062,NULL
642aad88-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172180,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,NULL,PMTS062,NULL
642abb7c-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172170,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P944,PMTS062,X1
642acbc6-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172187,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P112,PMTS062,X1
642adb55-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172187,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P112,PMTS062,X1
642aeeea-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172176,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P107,PMTS062,X1
642afed0-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172176,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P107,PMTS062,X1
642b15e3-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172181,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P117,PMTS062,X1
642b258b-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172181,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P117,PMTS062,X1
642b3c3d-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172189,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P114,PMTS062,X1
642b4bc9-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172189,G09,N11,LC00009752,GSK4418167A,10,PRC-009869208-571-90,P114,PMTS062,X1
642b59a3-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172196,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,NULL,PMTS062,NULL
642b69e8-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0172166,G11,A08,LC00009752,GSK5356107A,50,PRC-003386289-266-32,P949,PMTS062,X1
642bec43-3c50-11ee-b91e-123e1a3c8ba9,MTS023,MTS023_DMC_GSK,SCW0173089,G11,G20,LC00009753,GSK5356107A,50,PRC-003386289-266-32,NULL,PMTS062,NULL
642c4fe2-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172926,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P102,PMTS064,X1
642c6227-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173150,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P109,PMTS064,X3
642c71d8-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172924,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P101,PMTS064,X1
642c8854-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172922,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P114,PMTS064,X1
642ca701-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172930,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P106,PMTS064,X1
642cbd6c-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172907,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P119,PMTS064,X1
642cce09-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173139,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P120,PMTS064,X3
642ced99-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172365,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P122,PMTS064,X3
642cfd5a-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173131,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P111,PMTS064,X3
642d13d2-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172510,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P953,PMTS064,X3
642d269e-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172369,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P952,PMTS064,X3
642d42c4-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173133,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P113,PMTS064,X3
642d5632-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173112,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P123,PMTS064,X3
642d6c59-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172903,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,NULL,PMTS064,NULL
642d7fbc-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172913,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P125,PMTS064,X1
642d9048-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172159,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P112,PMTS064,X1
642dac68-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173116,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,NULL,PMTS064,NULL
642dbf2e-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173135,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P116,PMTS064,X3
642dd28a-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173142,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P103,PMTS064,X3
642de2cb-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173137,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P118,PMTS064,X3
642df2e1-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173114,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,NULL,PMTS064,NULL
642e027d-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173148,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P108,PMTS064,X3
642e1300-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173118,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P954,PMTS064,X3
642e26ab-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172909,E07,H06,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P110,PMTS064,X1
642e3ca1-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173144,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P105,PMTS064,X3
642e4cd5-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173120,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P126,PMTS064,X3
642e5da9-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173146,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P107,PMTS064,X3
642e6def-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172367,E07,I02,LC00009758,Tofacitinib,10,PRC-004203918-331-39,P945,PMTS064,X3
642e7e0b-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173140,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P119,PMTS064,X3
642e9159-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173117,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P948,PMTS064,X3
642ea1ee-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173138,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P117,PMTS064,X3
642eb232-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173136,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P115,PMTS064,X3
642ec54d-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172370,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P947,PMTS064,X3
642ed582-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172902,E07,H06,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P116,PMTS064,X1
642ee5ce-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173147,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P106,PMTS064,X3
642ef8a3-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173141,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P101,PMTS064,X3
642f08e0-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173143,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P102,PMTS064,X3
642f2810-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0172368,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,P944,PMTS064,X3
642f3b44-3c50-11ee-b91e-123e1a3c8ba9,MTS023,PEDDEP01,SCW0173134,E07,I02,LC00009757,Tofacitinib,10,PRC-004203918-331-39,NULL,PMTS064,NULL
